3581907,334
3668336,118
8438032,188
2727253,373
9823696,373
1579138,168
2467129,9
1121355,204
9984142,57
3021387,83
2202037,74
3847419,373
2977637,10
3687063,305
9291232,188
9827204,195
9562957,334
2340293,35
8533848,251
1778119,334
1066515,204
1182175,43
3152127,86
2758119,221
2808872,282
9963729,373
8736601,154
2107458,3
9261746,251
9713872,23
3001046,54
2663112,89
2722027,305
9854786,87
8760398,77
1179963,133
3713035,373
8814811,171
2628429,30
3617087,213
7294661,56
8498609,334
9276473,49
1032361,44
9649243,133
2712876,147
2737083,95
3244621,47
2035692,373
8887644,159
8461915,266
8770868,125
2576068,179
2248278,71
1404133,266
2432142,204
2548405,266
3209295,159
1973042,231
2284728,266
2173065,5
2467183,15
1184298,373
9707935,171
2842757,96
2138398,373
3650503,305
3455185,241
1228993,135
9406243,195
2075383,241
2889044,110
3600554,305
9889193,77
2525293,251
2749041,39
9562261,282
1179927,114
8597556,373
2432276,60
3180602,156
1161734,139
8649714,266
3686213,305
9843708,195
1067848,114
2212043,103
9504431,334
3487029,133
2856517,25
9517748,305
9223501,231
9955514,63
2281794,188
3447104,51
2903172,45
3648174,373
6719688,373
8949365,266
2078113,7
2330703,41
2051131,156
2598445,91
2032076,29
9953959,282
9865018,103
9589956,251
9018537,221
2815178,195
2967045,118
9936089,80
9629647,282
9540428,179
7849894,305
1318437,305
7959042,373
2678578,130
9215814,373
1991044,103
8473608,373
3046603,12
9967476,130
8988018,305
2598588,204
9956073,373
3655492,373
2802508,26
1404415,266
1066233,164
2938114,204
9374134,164
2141045,373
3559384,103
2704058,14
3052119,334
3508275,373
9285686,282
1440189,373
8882701,373
8963936,305
2758085,24
1012721,52
9629301,251
3650045,334
9663261,93
3838112,334
1508787,147
1580049,37
2897091,266
9064077,305
9345559,241
8590562,282
9396833,334
3555951,305
9959853,176
1515341,50
1013666,111
9238336,305
9701377,67
2833031,31
1011831,305
2795128,231
3071602,213
1493639,334
1011067,373
9122683,183
9791723,114
9936195,334
2678108,195
3431061,241
1814093,195
9261014,164
3566857,183
2106238,251
9854507,81
3130065,334
1431386,66
1535718,266
1010544,213
3447362,266
9511432,99
2613542,32
1094401,334
1953203,164
8564564,183
3650081,195
9215333,143
3519923,176
8237302,62
1208753,373
1199284,151
8878609,251
8793326,241
2677215,373
2897055,32
9487067,107
8947768,373
2731025,282
7836737,282
1535584,305
3619085,266
1563392,97
9092563,164
2542262,204
8321737,334
1475036,151
1315528,305
8323593,143
9092206,188
9715591,305
2824158,231
8813313,139
2953607,8
2833095,135
2319319,204
9254255,213
9265038,204
1974315,93
1251132,27
2633158,159
1331217,241
2541184,2
2011874,373
1170735,251
2823826,334
9166742,334
9417179,241
9896071,305
3905186,373
9980886,305
3581961,188
9808306,334
9791614,77
9902347,13
2432045,213
9515937,334
9461183,99
1816073,91
2823899,68
2935092,97
9331591,147
3559471,125
9390358,373
1776209,231
2842639,64
1338089,114
2670133,4
3301256,282
3166581,179
2953816,266
9810374,107
9739989,221
3651035,334
9248833,334
3088387,107
3301556,91
9790751,373
2678241,118
9166797,70
9194999,334
8709203,231
2760575,305
2633103,16
1997154,231
3558579,282
1972826,195
3559505,121
9654087,373
9854668,36
2809529,241
1067948,305
3622159,221
1052221,151
1563461,130
9622501,334
3071408,65
2524106,282
1775051,164
1989198,147
2759181,334
2769488,179
9927328,34
2542914,183
1012876,305
2897116,27
2703101,221
1685052,103
3046066,19
2540079,151
9976899,74
2842775,373
8829707,305
9823769,143
2565493,373
9441712,305
8669657,373
3559578,88
2480232,121
1617038,59
3617069,305
9328943,139
2550207,334
2173135,204
2730972,373
1078792,57
9460736,60
3650391,282
1154546,139
1470129,221
1324987,221
1208468,373
9522634,282
8504353,251
1180061,188
2722585,373
1808056,83
1443131,334
2396097,305
7294616,373
2633149,18
3455398,22
9893348,127
3184908,221
9999169100050027,373
1981099,305
2856544,40
1778076,305
2643215,231
1315467,251
3302121,266
1092494,38
9854804,1
1338007,147
9949037,164
1807118,114
3864082,373
1470147,266
3447468,282
3055161,204
9385809,171
2671044,54
9927373,156
8115906,334
2010435,334
1493444,139
8595763,176
1066551,79
1207275,121
9254111,54
2842602,231
1014064,213
4715623,373
2755149,68
3052076,373
7959033,45
3552327,47
3433032,171
1511584,107
3052094,282
9265387,305
1930151,71
2945052,6
9927451,334
9977237,373
1981345,231
1180104,42
3184753,373
2846098,373
1309041,305
2737171,171
3432088,231
2897073,73
2138219,266
3035168,266
9691527,171
1004622,127
9257083,373
8237259,251
1011491,82
9328809,231
2856465,85
3720071,282
3967307,373
9331644,125
2375195,11
9825676,373
1228939,17
8947205,266
2774101,213
2146641,121
2095189,21
9189415,221
8534204,251
9952004,373
9333544,373
7689138,373
2807036,20
